"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,160,21654,103,25,1654810
2023-06-01,yandex,cpc,prof-frontend,114,57138,78,12,1057000
2023-06-01,yandex,cpc,prof-python,104,33026,62,7,613196
2023-06-01,yandex,cpc,base-python,46,12524,31,7,476021
2023-06-01,vk,cpc,prof-python,81,2028,40,5,355564
2023-06-01,vk,cpc,freemium-frontend,92,3160,43,5,338083
2023-06-01,yandex,cpc,prof-java,79,29490,49,4,284590
2023-06-01,yandex,cpc,base-frontend,60,18061,40,3,268515
2023-06-01,vk,cpc,prof-java,60,3115,23,2,232726
2023-06-01,yandex,cpc,prof-data-analytics,20,10086,14,2,220264
2023-06-30,admitad,cpa,admitad,367,,2,2,201150
2023-06-01,yandex,cpc,prof-professions-brand,22,4818,13,3,154287
2023-06-20,telegram,cpp,base-java,12,,1,1,151192
2023-06-01,yandex,cpc,dod-php,7,5964,4,1,150255
2023-06-01,yandex,cpc,base-professions-retarget,8,151,4,1,134100
